Url,PathIdentifier,PropertyId,Price,Unit,Street,City,State,Postcode,SoldDate,Bed,Bath,Parking,Type
www.realestate.com.au/sold/property-townhouse-sa-marleston-143258884,/sold/property-townhouse-sa-marleston-143258884,143258884,702999,6A,Aldridge Terrace,Marleston,SA,5033,15-Feb-24,3,2,2,Townhouse
www.realestate.com.au/sold/property-house-sa-marleston-144123652,/sold/property-house-sa-marleston-144123652,144123652,782000,11A,Allington Avenue,Marleston,SA,5033,12-Feb-24,3,2,1,House
www.realestate.com.au/sold/property-unit-sa-cowandilla-143995544,/sold/property-unit-sa-cowandilla-143995544,143995544,668500,3/35A,Hounslow Avenue,Cowandilla,SA,5033,5-Feb-24,2,1,1,Unit
www.realestate.com.au/sold/property-townhouse-sa-richmond-143964072,/sold/property-townhouse-sa-richmond-143964072,143964072,850000,43B,Kingston Avenue,Richmond,SA,5033,30-Jan-24,3,3,1,Townhouse
www.realestate.com.au/sold/property-unit-sa-marleston-144060364,/sold/property-unit-sa-marleston-144060364,144060364,615000,Mar-53,Boss Avenue,Marleston,SA,5033,30-Jan-24,3,1,1,Unit
www.realestate.com.au/sold/property-unit-sa-marleston-143951064,/sold/property-unit-sa-marleston-143951064,143951064,357500,1-Jun,Sarah Street,Marleston,SA,5033,30-Jan-24,2,1,1,Unit
www.realestate.com.au/sold/property-unit-sa-cowandilla-143942200,/sold/property-unit-sa-cowandilla-143942200,143942200,296000,1-Jun,Spencer Street,Cowandilla,SA,5033,30-Jan-24,1,1,1,Unit
www.realestate.com.au/sold/property-house-sa-west+richmond-143758712,/sold/property-house-sa-west+richmond-143758712,143758712,777000,19,Knight Street,West Richmond,SA,5033,5-Jan-24,4,2,3,House
www.realestate.com.au/sold/property-house-sa-richmond-143759260,/sold/property-house-sa-richmond-143759260,143759260,739000,58A,Brooker Terrace,Richmond,SA,5033,22-Dec-23,3,2,1,House
www.realestate.com.au/sold/property-unit-sa-richmond-143830596,/sold/property-unit-sa-richmond-143830596,143830596,515999,1-Jun,Elms Avenue,Richmond,SA,5033,22-Dec-23,2,1,1,Unit
www.realestate.com.au/sold/property-house-sa-marleston-143742248,/sold/property-house-sa-marleston-143742248,143742248,1249000,54,Argyle Avenue,Marleston,SA,5033,21-Dec-23,4,2,2,House
www.realestate.com.au/sold/property-house-sa-richmond-143626740,/sold/property-house-sa-richmond-143626740,143626740,835000,11E,Shaw Avenue,Richmond,SA,5033,18-Dec-23,3,2,2,House
www.realestate.com.au/sold/property-unit-sa-marleston-143693564,/sold/property-unit-sa-marleston-143693564,143693564,310000,1-May,Sarah Street,Marleston,SA,5033,14-Dec-23,2,1,1,Unit
